candidate_id,dataset,feature_width,fmt_base_average_precision,fmt_base_f1,fmt_feature,fmt_spatial_average_precision,fmt_spatial_f1,gain_base_average_precision,gain_base_f1,gain_spatial_average_precision,gain_spatial_f1,group,raw_pca_base_average_precision,raw_pca_base_f1,raw_pca_spatial_average_precision,raw_pca_spatial_f1,robust_mean_gain,robust_min_gain
c00_kin2,channel,12,0.8001405600398341,0.7274678111587983,kin2,0.7890782960891984,0.706199460916442,0.720657819009904,0.5762569428776406,0.7407116764401376,0.6438652434098108,channel,0.07948274102993011,0.1512108682811577,0.0483666196490609,0.0623342175066313,0.6703729204343734,0.5762569428776406
c01_kin4,channel,28,0.8409072940352222,0.7736040609137056,kin4,0.8633609320250627,0.7890137328339576,0.7200758170770184,0.5721941918301205,0.7721339582714252,0.6347939392699018,channel,0.1208314769582038,0.2014098690835851,0.09122697375363754,0.15421979356405585,0.6747994766121165,0.5721941918301205
c02_kin6,channel,44,0.8643666008651019,0.7910447761194029,kin6,0.8880951835441329,0.8127490039840638,0.635572928528702,0.48737985465343436,0.6913241675394685,0.5304909394679347,channel,0.22879367233639986,0.3036649214659686,0.19677101600466437,0.28225806451612906,0.5861919725473849,0.48737985465343436
c03_all_kin2,channel,173,0.7931118168150413,0.7406639004149378,fmt_all+kin2,0.8559651615086388,0.7602339181286549,0.5827615923279911,0.46150871216884043,0.6784504984829568,0.4898520811833505,channel,0.21035022448705024,0.27915518824609736,0.17751466302568197,0.27038183694530443,0.5531432210407847,0.46150871216884043
c04_all_kin4,channel,189,0.7925767517285477,0.7421383647798742,fmt_all+kin4,0.864726146330416,0.7781908302354399,0.584843161703525,0.4582439152803291,0.6908238598843839,0.5050103716113123,channel,0.20773359002502273,0.28389444949954507,0.1739022864460321,0.2731804586241276,0.5597303271198876,0.4582439152803291
c05_aivd1w3,channel,8,0.8853009691690711,0.8211640211640212,aivd1w3,0.9126999098221769,0.8397932816537468,0.8160061425799529,0.6927236541915441,0.8717345670195423,0.7783062736784445,channel,0.06929482658911824,0.12844036697247707,0.040965342802634516,0.06148700797530229,0.789692659367371,0.6927236541915441
c06_aivd2w4,channel,10,0.8950966964681151,0.8283499446290143,aivd2w4,0.9169345687466853,0.8369565217391305,0.8277310645611013,0.6932148094938793,0.8753014705606083,0.7762741599111058,channel,0.06736563190701368,0.13513513513513514,0.04163309818607709,0.060682361828024674,0.7931303761316736,0.6932148094938793
c07_aivd2w8,channel,10,0.8844912660856126,0.8177136972193615,aivd2w8,0.9136454161825042,0.8389513108614233,0.8171256341785988,0.6825785620842264,0.8720123179964271,0.7782689490333986,channel,0.06736563190701368,0.13513513513513514,0.04163309818607709,0.060682361828024674,0.7874963658231627,0.6825785620842264
c08_aivd4w8,channel,14,0.892320832570906,0.8268625393494229,aivd4w8,0.9140285427176582,0.8310038119440915,0.8052497359733406,0.6702223577376181,0.8508930763173685,0.7471230640916408,channel,0.08707109659756546,0.15664018161180476,0.06313546640028966,0.08388074785245073,0.768372058529992,0.6702223577376181
c09_aivd4w16,channel,14,0.8894106345947907,0.8213166144200627,aivd4w16,0.9115421522146107,0.8360864040660737,0.8023395379972253,0.6646764328082579,0.848406685814321,0.752205656213623,channel,0.08707109659756546,0.15664018161180476,0.06313546640028966,0.08388074785245073,0.7669070782083568,0.6646764328082579
c10_aivd6w16,channel,18,0.8913614653932335,0.8206229860365198,aivd6w16,0.9105305977630025,0.8264900662251655,0.783752784238504,0.6139424014853716,0.8278946555028519,0.7337470743467269,channel,0.10760868115472945,0.20668058455114824,0.08263594226015059,0.09274299187843857,0.7398342288933635,0.6139424014853716
c11_aivd6w32,channel,18,0.8812327719560863,0.8200836820083682,aivd6w32,0.9105155272534231,0.8375634517766497,0.7736240908013569,0.61340309745722,0.8278795849932725,0.7448204598982111,channel,0.10760868115472945,0.20668058455114824,0.08263594226015059,0.09274299187843857,0.7399318082875153,0.61340309745722
c12_aivd2w8log,channel,10,0.8843004961353795,0.8185567010309278,aivd2w8log,0.9135790202891613,0.8389513108614233,0.8169348642283658,0.6834215658957927,0.8719459221030842,0.7782689490333986,channel,0.06736563190701368,0.13513513513513514,0.04163309818607709,0.060682361828024674,0.7876428253151604,0.6834215658957927
c13_aivdq2w8,channel,20,0.8923892622801869,0.8184818481848185,aivdq2w8,0.9139553721105536,0.8425302826379543,0.7682264091463697,0.5928853189006537,0.8257014937306661,0.7416303644486988,channel,0.12416285313381711,0.22559652928416485,0.08825387837988745,0.10089991818925552,0.7321108965565971,0.5928853189006537
c14_aivdq4w16,channel,28,0.8962811738769914,0.821689259645464,aivdq4w16,0.9162247454370984,0.8373266078184111,0.7754496969187875,0.6202793905618789,0.8249977716834609,0.6831068142543553,channel,0.1208314769582038,0.2014098690835851,0.09122697375363754,0.15421979356405585,0.7259584183546206,0.6202793905618789
c15_akin2w8,channel,40,0.8865471136798919,0.8117249154453213,akin2w8,0.9067292314075638,0.8217270194986073,0.6613214502422228,0.5251395495916629,0.7160898498426392,0.5539367573263226,channel,0.22522566343766912,0.2865853658536585,0.19063938156492452,0.26779026217228463,0.6141219017507119,0.5251395495916629
c16_akin4w16,channel,56,0.8907134952906943,0.8119469026548672,akin4w16,0.909480652741446,0.8132780082987552,0.6680792433675219,0.5222473318394165,0.7242067770746643,0.5401188634056435,channel,0.22263425192317246,0.28969957081545067,0.1852738756667816,0.27315914489311166,0.6136630539218115,0.5222473318394165
c17_all_aivd2w8,channel,171,0.8335594798201047,0.776595744680851,fmt_all+aivd2w8,0.8892693396400183,0.8187579214195184,0.6224314556428242,0.4964401026575047,0.7127170364840705,0.5410399451008963,channel,0.21112802417728052,0.2801556420233463,0.1765523031559479,0.27771797631862216,0.5931571349713239,0.4964401026575047
c00_kin2,cylinder3d,12,0.9613844092307112,0.9302623160588611,kin2,0.8362370310231252,0.689064558629776,0.7586393375437464,0.6900558886603155,0.44792639596261463,0.4663891915824677,halfcylinder,0.20274507168696482,0.2402064273985456,0.38831063506051056,0.2226753670473083,0.590752703437286,0.44792639596261463
c01_kin4,cylinder3d,28,0.9730898221976141,0.9330783938814532,kin4,0.8452538567115759,0.6992824527071102,0.591958789762772,0.53834155177619,0.2768898179444198,0.16630947973413723,halfcylinder,0.38113103243484203,0.39473684210526316,0.5683640387671561,0.532972972972973,0.39337490980437984,0.16630947973413723
c02_kin6,cylinder3d,44,0.9792525526506266,0.9357914812460267,kin6,0.8449209311054666,0.7030539311241065,0.4324203902007868,0.4398190991976953,0.24074522761261286,0.16078339972314037,halfcylinder,0.5468321624498398,0.49597238204833144,0.6041757034928538,0.5422705314009661,0.3184420291835588,0.16078339972314037
c03_all_kin2,cylinder3d,173,0.8379423315282781,0.7917737789203085,fmt_all+kin2,0.8450974176261159,0.6958667489204194,0.1842744047801359,0.12976098078185594,0.2814811919583192,0.21149174892041944,halfcylinder,0.6536679267481422,0.6620127981384526,0.5636162256677967,0.484375,0.20175208161018263,0.12976098078185594
c04_all_kin4,cylinder3d,189,0.8406343645484898,0.7948220064724919,fmt_all+kin4,0.8471551157622548,0.6980781153130812,0.2280028980388319,0.15595014871651403,0.29444509912263217,0.2052006224355883,halfcylinder,0.6126314665096579,0.6388718577559779,0.5527100166396226,0.4928774928774929,0.2208996920783916,0.15595014871651403
c05_aivd1w3,cylinder3d,8,0.9874770498137827,0.9457070707070707,aivd1w3,0.8425938395257774,0.7104247104247104,0.8260328529182528,0.732555143269429,0.3228715390371746,0.23046073023560643,halfcylinder,0.1614441968955299,0.21315192743764172,0.5197223004886028,0.479963980189104,0.5279800663651157,0.23046073023560643
c06_aivd2w4,cylinder3d,10,0.9874409528216974,0.951048951048951,aivd2w4,0.8422818585711386,0.7108821635544108,0.7892920139743247,0.6971321493201558,0.4266612538110593,0.46995375557794794,halfcylinder,0.19814893884737267,0.25391680172879527,0.4156206047600793,0.2409284079764629,0.595759793170872,0.4266612538110593
c07_aivd2w8,cylinder3d,10,0.9830072427974893,0.9359605911330049,aivd2w8,0.8460910036944356,0.7257963772642099,0.7848583039501167,0.6820437894042096,0.4304703989343563,0.484867969287747,halfcylinder,0.19814893884737267,0.25391680172879527,0.4156206047600793,0.2409284079764629,0.5955601153941074,0.4304703989343563
