candidate_id,family_macro_base_average_precision_gain,family_macro_base_f1_gain,family_macro_spatial_average_precision_gain,family_macro_spatial_f1_gain,feature_width,fmt_feature,group,robust_mean_family_macro_gain,robust_min_family_macro_gain
c06_aivd2w4,0.43946035068790734,0.26352343737685935,0.42512956302340654,0.21662683292481477,10,aivd2w4,f22raptor,0.336185046003247,0.21662683292481477
c15_akin2w8,0.26852698374593775,0.2172381944264684,0.28982086808677776,0.21256781219762366,40,akin2w8,f22raptor,0.2470384646142019,0.21256781219762366
c14_aivdq4w16,0.2787400344667982,0.22544763702779713,0.3085833672571415,0.21184005628890168,28,aivdq4w16,f22raptor,0.25615277376015966,0.21184005628890168
c11_aivd6w32,0.41486647259848497,0.23738100834410625,0.40689555170910874,0.21175005390375845,18,aivd6w32,f22raptor,0.3177232716388646,0.21175005390375845
c10_aivd6w16,0.4139728649190174,0.24239836637568013,0.40779692743118545,0.2000572852707717,18,aivd6w16,f22raptor,0.3160563609991637,0.2000572852707717
c13_aivdq2w8,0.3950598356405689,0.236795657857247,0.38981203607851267,0.1945706940335924,20,aivdq2w8,f22raptor,0.30405955590248024,0.1945706940335924
c02_kin6,0.13617848832792456,0.10377623688155924,0.17693448539992485,0.11903065330460039,44,kin6,f22raptor,0.13397996597850226,0.10377623688155924
c01_kin4,0.11659326538657999,0.09674233245990527,0.18792375539334694,0.10662780318044285,28,kin4,f22raptor,0.12697178910506876,0.09674233245990527
c00_kin2,0.19171024303122863,0.0631256146373167,0.26670121171918637,0.07045537630290022,12,kin2,f22raptor,0.14799811142265798,0.0631256146373167
c04_all_kin4,0.06744338009108719,0.051699741970936186,0.15152930314153523,0.10082107787043693,189,fmt_all+kin4,f22raptor,0.09287337576849888,0.051699741970936186
c03_all_kin2,0.02891517567206392,0.02072644609190344,0.11120746390290004,0.06787180221735345,173,fmt_all+kin2,f22raptor,0.05718022197105521,0.02072644609190344
c09_aivd4w16,0.5975379075676273,0.5053185609195302,0.509193591916621,0.46959212654923754,14,aivd4w16,halfcylinder,0.520410546738254,0.46959212654923754
c07_aivd2w8,0.6001974108315528,0.5153433336466096,0.5034464317538356,0.4653447618710979,10,aivd2w8,halfcylinder,0.5210829845257741,0.4653447618710979
c06_aivd2w4,0.6050807131775889,0.5248176976220885,0.507033449744191,0.46533924639650465,10,aivd2w4,halfcylinder,0.5255677767350933,0.46533924639650465
c12_aivd2w8log,0.5980944146996601,0.5118886401229877,0.5028996373985727,0.4639069378905069,10,aivd2w8log,halfcylinder,0.5191974075279319,0.4639069378905069
c08_aivd4w8,0.5989079818393754,0.5084482800199027,0.5063368724057592,0.4570593220183685,14,aivd4w8,halfcylinder,0.5176881140708515,0.4570593220183685
c05_aivd1w3,0.6271786745156839,0.5488920240208687,0.4737641691578851,0.39270396853954254,8,aivd1w3,halfcylinder,0.5106347090584951,0.39270396853954254
c00_kin2,0.5119233483944038,0.44016152895218186,0.4220779957251783,0.37791259140298655,12,kin2,halfcylinder,0.4380188661186876,0.37791259140298655
c10_aivd6w16,0.5176281072299002,0.4262092129927133,0.4614645491292794,0.3648313338209695,18,aivd6w16,halfcylinder,0.4425333007932156,0.3648313338209695
c11_aivd6w32,0.4719998065946305,0.38896232803707703,0.45048180349361683,0.35930569868960366,18,aivd6w32,halfcylinder,0.41768740920373204,0.35930569868960366
c13_aivdq2w8,0.45940789834716717,0.394581113149347,0.3804948400431367,0.2907243465040749,20,aivdq2w8,halfcylinder,0.38130204951093144,0.2907243465040749
