average_precision,balanced_accuracy,candidate_id,dataset,f1,method,precision,predicted_positive_fraction,recall,roc_auc,seed
0.9734264614183922,0.9676154695528234,c01_aivd2w8,f22raptor,0.925,raw,0.906766116142781,0.08610091743119266,0.9439822518025514,0.9975322421491344,50
0.972624973105475,0.9615327074435541,c01_aivd2w8,f22raptor,0.9262634631317316,raw_wide,0.9224422442244224,0.08339449541284404,0.930116472545757,0.9976800319271406,50
0.9805604039768513,0.970045382015289,c01_aivd2w8,f22raptor,0.9448294981979485,raw_pca_residual,0.9445676274944568,0.08275229357798165,0.9450915141430949,0.9982309049075054,50
0.9887576040409685,0.975364385633996,c01_aivd2w8,f22raptor,0.9508830022075055,fmt_residual,0.9461834157056562,0.08353211009174312,0.9556295063782585,0.9989014852505191,50
0.9764346384258608,0.9753325727644504,c01_aivd2w8,f22raptor,0.9301450832885545,raw,0.9020323084940073,0.08802752293577981,0.9600665557404326,0.9979757501617478,51
0.9747426021836852,0.9738618862712934,c01_aivd2w8,f22raptor,0.9379084967320261,raw_wide,0.9213483146067416,0.08573394495412844,0.9550748752079867,0.9978846383252551,51
0.9792659565336334,0.9749211411107118,c01_aivd2w8,f22raptor,0.9385535617183252,raw_pca_residual,0.9205333333333333,0.0860091743119266,0.9572933998890738,0.9981937113084988,51
0.9893773603916403,0.977882955321834,c01_aivd2w8,f22raptor,0.956353591160221,fmt_residual,0.9526692350027518,0.08334862385321101,0.9600665557404326,0.9989456127792435,51
0.979617816086141,0.970197678847612,c01_aivd2w8,f22raptor,0.9438140049820094,raw,0.9419889502762431,0.08302752293577982,0.9456461453133667,0.9982741864968043,52
0.9770509823210273,0.9725753233478645,c01_aivd2w8,f22raptor,0.9374829374829374,raw_wide,0.9231182795698925,0.0853211009174312,0.9523017193566279,0.9980077294456066,52
0.9818409530626059,0.9767327827959552,c01_aivd2w8,f22raptor,0.9443535188216039,raw_pca_residual,0.92914653784219,0.08545871559633028,0.9600665557404326,0.9984494485043527,52
0.9890047445340044,0.9782898383176778,c01_aivd2w8,f22raptor,0.9527472527472527,fmt_residual,0.9439303211758302,0.08426605504587156,0.961730449251248,0.9989569982918403,52
0.9754977536172555,0.9687929201582124,c01_aivd2w8,f22raptor,0.9344307270233196,raw,0.9245385450597177,0.0844954128440367,0.9445368829728231,0.9980697742487219,53
0.9741912803153095,0.9804742758002719,c01_aivd2w8,f22raptor,0.9367970005356187,raw_wide,0.905748316934231,0.08857798165137615,0.9700499168053245,0.9978807553246132,53
0.9833561950090243,0.9776624702246657,c01_aivd2w8,f22raptor,0.9488091979195182,raw_pca_residual,0.9367567567567567,0.08486238532110092,0.9611758180809762,0.9985891671881676,53
0.9901587221106615,0.9766714036500928,c01_aivd2w8,f22raptor,0.9567627494456763,fmt_residual,0.9562326869806094,0.08279816513761468,0.9572933998890738,0.9990784114011999,53
0.9749275158840746,0.9730094844232181,c01_aivd2w8,f22raptor,0.9317812669193286,raw,0.9101004759386568,0.08674311926605505,0.954520244037715,0.9978588302388454,54
0.9703333976398202,0.9713796919787552,c01_aivd2w8,f22raptor,0.9204819277108434,raw_wide,0.889751552795031,0.08862385321100917,0.9534109816971714,0.99742544576362,54
0.9839283608375461,0.9777102033968434,c01_aivd2w8,f22raptor,0.951909865347623,raw_pca_residual,0.9433551198257081,0.08422018348623853,0.9606211869107044,0.998661460339406,54
0.9904192007713948,0.9811130016701618,c01_aivd2w8,f22raptor,0.956140350877193,fmt_residual,0.9452574525745258,0.08463302752293578,0.9672767609539656,0.9990644464667481,54
