candidate_id,fmt_feature,dimension,fmt_f1,raw_pca_f1,f1_gain,fmt_average_precision,raw_pca_average_precision,average_precision_gain
c03_aivd4w16,aivd4w16,14,0.9214717188358045,0.6735905044510386,0.24788121438476585,0.9699317131684377,0.5372387999307869,0.4326929132376508
c02_aivd4w8,aivd4w8,14,0.9165320409262251,0.6735905044510386,0.24294153647518646,0.9691093853205012,0.5372387999307869,0.43187058538971423
c01_aivd2w8,aivd2w8,10,0.9166218396987628,0.6775898520084567,0.2390319876903061,0.9691635471494545,0.5299582457230939,0.4392053014263606
c06_aivd6w16log,aivd6w16log,18,0.9283351708930541,0.6993006993006993,0.2290344715923548,0.971864101373848,0.6131267976125772,0.3587373037612709
c04_aivd6w16,aivd6w16,18,0.9214717188358045,0.6993006993006993,0.2221710195351052,0.9698427904722977,0.6131267976125772,0.35671599285972055
c16_akin6w16log,akin6w16log,72,0.924958310172318,0.708885616102111,0.21607269407020702,0.9633235799631618,0.6871620527779042,0.27616152718525755
c05_aivd6w32,aivd6w32,18,0.9140022050716649,0.6993006993006993,0.21470150577096558,0.9669618527921839,0.6131267976125772,0.3538350551796068
c12_akin4w8,akin4w8,56,0.9192139737991266,0.7079463364293086,0.21126763736981802,0.9698048206589075,0.6863717973957477,0.2834330232631598
c13_akin4w16,akin4w16,56,0.9171629669734704,0.7079463364293086,0.20921663054416184,0.9678951002720514,0.6863717973957477,0.28152330287630367
c14_akin6w16,akin6w16,72,0.9172525689561926,0.708885616102111,0.20836695285408158,0.9675810352915543,0.6871620527779042,0.28041898251365005
c11_aivdq6w16log,aivdq6w16log,36,0.9237668161434978,0.7154639175257732,0.20830289861772455,0.963336966325469,0.6910009674339669,0.27233599889150206
c07_aivdq4w8,aivdq4w8,28,0.9150326797385621,0.7087428867046043,0.20628979303395778,0.9684060877075245,0.6741799875192878,0.2942261001882367
c08_aivdq4w16,aivdq4w16,28,0.9133010231556273,0.7087428867046043,0.20455813645102305,0.9668226152136707,0.6741799875192878,0.292642627694383
c15_akin6w32,akin6w32,72,0.9115191986644408,0.708885616102111,0.20263358256232977,0.9615614670682066,0.6871620527779042,0.27439941429030235
c17_akin6w32log,akin6w32log,72,0.9093959731543624,0.708885616102111,0.2005103570522514,0.9648855350081853,0.6871620527779042,0.2777234822302811
c18_akin8w16,akin8w16,88,0.9141004862236629,0.7155963302752294,0.1985041559484335,0.9673732484390789,0.6886116090176363,0.2787616394214426
c09_aivdq6w16,aivdq6w16,36,0.9124126813541107,0.7154639175257732,0.19694876382833748,0.9664045901682693,0.6910009674339669,0.2754036227343024
c10_aivdq6w32,aivdq6w32,36,0.910989010989011,0.7154639175257732,0.19552509346323776,0.9640018235734831,0.6910009674339669,0.2730008561395162
c00_kin6,kin6,44,0.7914547304170906,0.7128099173553719,0.07864481306171867,0.8120808818959407,0.6957533436640381,0.11632753823190267
