pool,profile,architecture,points,sampling,augmentation,id,parameters,center_policy,neighbors,encoder_dimensions,standard_convolution,graph_message_passing,current_status
p10,h0,original,48,curvature,jitter_rotate15,c046,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,curvature,jitter_rotate_so3,c047,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,none,c048,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,jitter,c049,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,rotate15,c050,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,rotate_so3,c051,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,jitter_rotate15,c052,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,jitter_rotate_so3,c053,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,curvature,none,c054,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,curvature,jitter,c055,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,curvature,rotate15,c056,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,curvature,rotate_so3,c057,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,curvature,jitter_rotate15,c058,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,curvature,jitter_rotate_so3,c059,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,uniform,none,c060,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,uniform,jitter,c061,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,uniform,rotate15,c062,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,uniform,rotate_so3,c063,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,uniform,jitter_rotate15,c064,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,uniform,jitter_rotate_so3,c065,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,curvature,none,c066,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,curvature,jitter,c067,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,curvature,rotate15,c068,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,curvature,rotate_so3,c069,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,curvature,jitter_rotate15,c070,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,48,curvature,jitter_rotate_so3,c071,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
